timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_kpa,accel_lp_x_g,accel_lp_y_g,accel_lp_z_g
27656,0.044,-0.040,9.838,0.00,0.00,0.00,100.22,-0.019,0.056,-9.443
27666,0.052,-0.037,9.849,0.00,0.00,0.00,100.22,-0.024,0.051,-9.468
27676,0.066,-0.049,9.845,0.00,0.00,0.00,100.22,-0.014,0.066,-9.448
27687,0.059,-0.046,9.833,0.00,0.00,0.00,100.22,-0.039,0.056,-9.453
27697,0.062,-0.040,9.832,0.00,0.00,0.00,100.22,0.007,0.063,-9.409
27707,0.070,-0.046,9.854,0.00,0.00,0.00,100.22,-0.046,0.036,-9.453
27717,0.043,-0.041,9.856,0.00,0.00,0.00,100.22,-0.039,0.066,-9.441
27727,0.051,-0.049,9.845,0.00,0.00,0.00,100.22,-0.012,0.100,-9.455
27737,0.045,-0.050,9.848,0.00,0.00,0.00,100.22,-0.009,0.051,-9.387
27747,0.047,-0.050,9.845,0.00,0.00,0.00,100.22,-0.009,0.100,-9.399
27757,0.015,-0.055,9.854,0.00,0.00,0.00,100.22,-0.014,0.107,-9.426
27767,0.029,-0.044,9.841,0.00,0.00,0.00,100.22,-0.031,0.080,-9.419
27790,0.044,-0.031,9.818,0.00,0.00,0.00,100.22,-0.031,0.063,-9.419
27800,0.059,-0.037,9.854,0.00,0.00,0.00,100.22,-0.036,0.110,-9.438
27810,0.055,-0.041,9.847,0.00,0.00,0.00,100.22,-0.024,0.066,-9.465
27820,0.064,-0.031,9.847,0.00,0.00,0.00,100.22,-0.014,0.078,-9.436
27830,0.057,-0.033,9.861,0.00,0.00,0.00,100.22,-0.031,0.044,-9.455
27840,0.039,-0.045,9.851,0.00,0.00,0.00,100.22,-0.022,0.085,-9.394
27850,0.041,-0.041,9.842,0.00,0.00,0.00,100.22,-0.056,0.061,-9.448
27860,0.041,-0.055,9.842,0.00,0.00,0.00,100.22,-0.004,0.053,-9.402
27870,0.034,-0.045,9.842,0.00,0.00,0.00,100.22,-0.078,0.061,-9.404
27880,0.046,-0.051,9.847,0.00,0.00,0.00,100.22,-0.012,0.112,-9.436
27889,0.061,-0.041,9.850,0.00,0.00,0.00,100.22,-0.061,0.066,-9.411
27899,0.062,-0.035,9.838,0.00,0.00,0.00,100.22,-0.039,0.053,-9.411
27909,0.035,-0.047,9.845,0.00,0.00,0.00,100.22,-0.063,0.053,-9.406
27919,0.042,-0.036,9.862,0.00,0.00,0.00,100.22,-0.039,0.073,-9.402
27929,0.045,-0.025,9.862,0.00,0.00,0.00,100.22,-0.002,0.115,-9.421
27939,0.052,-0.048,9.860,0.00,0.00,0.00,100.22,-0.019,0.056,-9.436
27949,0.049,-0.043,9.850,0.00,0.00,0.00,100.22,-0.036,0.073,-9.473
27959,0.055,-0.051,9.851,0.00,0.00,0.00,100.22,-0.031,0.049,-9.421
27969,0.060,-0.058,9.841,0.00,0.00,0.00,100.22,-0.044,0.073,-9.451
27991,0.033,-0.047,9.860,0.00,0.00,0.00,100.22,-0.053,0.063,-9.389
28001,0.034,-0.044,9.852,0.00,0.00,0.00,100.22,-0.004,0.090,-9.433
28011,0.055,-0.025,9.849,0.00,0.00,0.00,100.22,-0.026,0.036,-9.428
28021,0.046,-0.043,9.839,0.00,0.00,0.00,100.22,-0.019,0.090,-9.426
28031,0.035,-0.043,9.836,0.00,0.00,0.00,100.22,-0.039,0.098,-9.436
28041,0.053,-0.043,9.849,0.00,0.00,0.00,100.22,-0.004,0.080,-9.441
28051,0.059,-0.043,9.863,0.00,0.00,0.00,100.22,-0.051,0.073,-9.438
28061,0.047,-0.036,9.844,0.00,0.00,0.00,100.22,-0.039,0.046,-9.455
28071,0.047,-0.049,9.829,0.00,0.00,0.00,100.22,-0.036,0.063,-9.406
28081,0.056,-0.034,9.854,0.00,0.00,0.00,100.22,-0.044,0.071,-9.419
28092,0.050,-0.041,9.860,0.00,0.00,0.00,100.22,-0.044,0.102,-9.441
28102,0.052,-0.044,9.837,0.00,0.00,0.00,100.22,-0.022,0.056,-9.419
28112,0.028,-0.055,9.855,0.00,0.00,0.00,100.22,-0.039,0.085,-9.458
28122,0.040,-0.063,9.845,0.00,0.00,0.00,100.22,-0.041,0.075,-9.365
28132,0.032,-0.021,9.839,0.00,0.00,0.00,100.22,-0.019,-0.002,-9.436
28142,0.036,-0.034,9.845,0.00,0.00,0.00,100.22,-0.007,0.090,-9.411
28152,0.040,-0.035,9.858,0.00,0.00,0.00,100.22,-0.024,0.053,-9.441
28162,0.049,-0.040,9.849,0.00,0.00,0.00,100.22,-0.029,0.102,-9.431
28172,0.047,-0.052,9.841,0.00,0.00,0.00,100.22,-0.041,0.085,-9.426
28193,0.042,-0.061,9.840,0.00,0.00,0.00,100.22,-0.026,0.036,-9.394
28203,0.053,-0.051,9.839,0.00,0.00,0.00,100.22,-0.044,0.044,-9.419
28213,0.054,-0.047,9.871,0.00,0.00,0.00,100.22,-0.002,0.083,-9.402
28223,0.037,-0.041,9.864,0.00,0.00,0.00,100.22,-0.031,0.073,-9.426
28233,0.046,-0.044,9.847,0.00,0.00,0.00,100.22,-0.061,0.142,-9.453
28243,0.046,-0.036,9.847,0.00,0.00,0.00,100.22,-0.024,0.061,-9.426
28253,0.050,-0.040,9.848,0.00,0.00,0.00,100.22,-0.031,0.088,-9.455
28263,0.041,-0.041,9.852,0.00,0.00,0.00,100.22,-0.061,0.093,-9.428
28273,0.043,-0.037,9.851,0.00,0.00,0.00,100.22,-0.014,0.071,-9.411
28283,0.051,-0.041,9.847,0.00,0.00,0.00,100.22,0.000,0.085,-9.382
28295,0.048,-0.053,9.847,0.00,0.00,0.00,100.22,-0.036,0.090,-9.419
28305,0.053,-0.043,9.848,0.00,0.00,0.00,100.22,-0.026,0.066,-9.453
28315,0.049,-0.055,9.841,0.00,0.00,0.00,100.22,-0.007,0.100,-9.431
28325,0.052,-0.038,9.854,0.00,0.00,0.00,100.22,-0.022,0.075,-9.448
28335,0.052,-0.041,9.850,0.00,0.00,0.00,100.22,-0.039,0.090,-9.375
28345,0.047,-0.045,9.844,0.00,0.00,0.00,100.22,-0.012,0.041,-9.458
28355,0.038,-0.021,9.848,0.00,0.00,0.00,100.22,-0.036,0.063,-9.436
28365,0.049,-0.032,9.847,0.00,0.00,0.00,100.22,-0.012,0.039,-9.451
28375,0.046,-0.035,9.836,0.00,0.00,0.00,100.22,-0.026,0.083,-9.438
28396,0.042,-0.040,9.850,0.00,0.00,0.00,100.22,0.012,0.085,-9.490
28406,0.046,-0.050,9.851,0.00,0.00,0.00,100.22,-0.024,0.063,-9.416
28416,0.061,-0.050,9.854,0.00,0.00,0.00,100.22,-0.022,0.120,-9.451
28426,0.052,-0.045,9.838,0.00,0.00,0.00,100.22,-0.034,0.046,-9.421
28436,0.044,-0.027,9.845,0.00,0.00,0.00,100.22,-0.019,0.075,-9.438
28446,0.058,-0.055,9.845,0.00,0.00,0.00,100.22,-0.051,0.071,-9.416
28456,0.047,-0.037,9.850,0.00,0.00,0.00,100.22,-0.022,0.117,-9.428
28466,0.045,-0.043,9.860,0.00,0.00,0.00,100.22,-0.004,0.107,-9.460
28476,0.056,-0.058,9.846,0.00,0.00,0.00,100.22,-0.024,0.093,-9.404
28486,0.049,-0.044,9.845,0.00,0.00,0.00,100.22,-0.012,0.071,-9.448
28497,0.038,-0.043,9.847,0.00,0.00,0.00,100.22,-0.031,0.080,-9.397
28507,0.040,-0.049,9.853,0.00,0.00,0.00,100.22,-0.019,0.078,-9.438
28517,0.050,-0.049,9.845,0.00,0.00,0.00,100.22,-0.007,0.075,-9.409
28527,0.053,-0.043,9.846,0.00,0.00,0.00,100.22,-0.029,0.058,-9.411
28537,0.050,-0.037,9.849,0.00,0.00,0.00,100.22,0.012,0.068,-9.419
28547,0.057,-0.038,9.851,0.00,0.00,0.00,100.22,-0.014,0.098,-9.411
28557,0.061,-0.031,9.857,0.00,0.00,0.00,100.22,-0.024,0.053,-9.404
28567,0.056,-0.044,9.855,0.00,0.00,0.00,100.22,0.000,0.039,-9.433
28577,0.058,-0.031,9.843,0.00,0.00,0.00,100.22,-0.051,0.058,-9.441
28599,0.068,-0.037,9.838,0.00,0.00,0.00,100.22,-0.068,0.075,-9.394
28609,0.060,-0.060,9.844,0.00,0.00,0.00,100.22,-0.044,0.093,-9.421
28619,0.044,-0.051,9.863,0.00,0.00,0.00,100.22,-0.029,0.117,-9.468
28629,0.034,-0.046,9.856,0.00,0.00,0.00,100.22,-0.014,0.019,-9.409
28639,0.040,-0.043,9.848,0.00,0.00,0.00,100.22,0.019,0.105,-9.411
28649,0.043,-0.047,9.852,0.00,0.00,0.00,100.22,0.022,0.100,-9.431
28659,0.053,-0.049,9.850,0.00,0.00,0.00,100.22,0.007,0.105,-9.402
28669,0.049,-0.039,9.842,0.00,0.00,0.00,100.22,0.002,0.078,-9.441
28679,0.062,-0.041,9.844,0.00,0.00,0.00,100.22,-0.039,0.088,-9.419
28689,0.051,-0.041,9.854,0.00,0.00,0.00,100.22,-0.041,0.078,-9.433
28700,0.054,-0.038,9.857,0.00,0.00,0.00,100.22,-0.004,0.075,-9.428
28710,0.049,-0.049,9.842,0.00,0.00,0.00,100.22,-0.002,0.073,-9.424
28720,0.037,-0.049,9.842,0.00,0.00,0.00,100.22,0.009,0.073,-9.453
28730,0.041,-0.041,9.851,0.00,0.00,0.00,100.22,-0.007,0.090,-9.402
28740,0.047,-0.036,9.856,0.00,0.00,0.00,100.22,-0.002,0.066,-9.443
28750,0.045,-0.031,9.847,0.00,0.00,0.00,100.22,-0.002,0.115,-9.446
28760,0.047,-0.037,9.839,0.00,0.00,0.00,100.22,0.017,0.090,-9.355
28770,0.030,-0.052,9.850,0.00,0.00,0.00,100.22,0.012,0.039,-9.428
28780,0.041,-0.053,9.845,0.00,0.00,0.00,100.22,-0.061,0.088,-9.409
28790,0.065,-0.043,9.854,0.00,0.00,0.00,100.22,-0.073,0.068,-9.424
28812,0.053,-0.040,9.868,0.00,0.00,0.00,100.22,-0.041,0.078,-9.448
28822,0.067,-0.034,9.862,0.00,0.00,0.00,100.22,0.009,0.093,-9.416
28832,0.047,-0.046,9.844,0.00,0.00,0.00,100.22,-0.022,0.080,-9.389
28842,0.033,-0.046,9.851,0.00,0.00,0.00,100.22,-0.034,0.046,-9.399
28852,0.049,-0.035,9.849,0.00,0.00,0.00,100.22,-0.019,0.073,-9.433
28862,0.037,-0.042,9.844,0.00,0.00,0.00,100.22,-0.044,0.049,-9.451
28872,0.040,-0.048,9.852,0.00,0.00,0.00,100.22,-0.034,0.115,-9.458
28882,0.047,-0.032,9.848,0.00,0.00,0.00,100.22,-0.051,0.083,-9.421
28892,0.053,-0.043,9.842,0.00,0.00,0.00,100.22,-0.034,0.078,-9.436
28902,0.053,-0.050,9.847,0.00,0.00,0.00,100.22,-0.044,0.066,-9.431
28912,0.052,-0.052,9.853,0.00,0.00,0.00,100.22,-0.056,0.044,-9.404
28922,0.061,-0.048,9.847,0.00,0.00,0.00,100.22,-0.036,0.053,-9.411
28932,0.062,-0.038,9.840,0.00,0.00,0.00,100.22,-0.036,0.066,-9.416
28942,0.056,-0.048,9.845,0.00,0.00,0.00,100.22,-0.031,0.080,-9.431
28952,0.047,-0.040,9.842,0.00,0.00,0.00,100.22,0.012,0.053,-9.411
28962,0.044,-0.053,9.848,0.00,0.00,0.00,100.22,-0.017,0.046,-9.414
28972,0.051,-0.046,9.838,0.00,0.00,0.00,100.22,-0.031,0.066,-9.424
28982,0.049,-0.041,9.846,0.00,0.00,0.00,100.22,-0.061,0.056,-9.431
28992,0.053,-0.050,9.857,0.00,0.00,0.00,100.22,-0.058,0.083,-9.478
29004,0.048,-0.041,9.852,0.00,0.00,0.00,100.22,-0.058,0.073,-9.478
29024,0.044,-0.035,9.853,0.00,0.00,0.00,100.22,-0.039,0.102,-9.446
29034,0.059,-0.035,9.858,0.00,0.00,0.00,100.22,-0.051,0.112,-9.436
29044,0.048,-0.029,9.849,0.00,0.00,0.00,100.22,-0.044,0.053,-9.478
29054,0.045,-0.047,9.848,0.00,0.00,0.00,100.22,-0.071,0.112,-9.438
29064,0.041,-0.036,9.858,0.00,0.00,0.00,100.22,-0.002,0.073,-9.424
29074,0.061,-0.038,9.860,0.00,0.00,0.00,100.22,-0.031,0.051,-9.478
29084,0.049,-0.035,9.843,0.00,0.00,0.00,100.22,-0.041,0.088,-9.421
29094,0.050,-0.049,9.824,0.00,0.00,0.00,100.22,-0.004,0.075,-9.470
29105,0.047,-0.046,9.836,0.00,0.00,0.00,100.22,0.014,0.102,-9.428
29115,0.053,-0.047,9.839,0.00,0.00,0.00,100.22,-0.004,0.120,-9.419
29125,0.038,-0.041,9.843,0.00,0.00,0.00,100.22,-0.046,0.090,-9.419
